ZL_DIVN_NBR,LOC_NBR,RDS_SKU_NBR,ZL_MSTSTYL_NBR,NSL_QTY
71,5040,20271,70188,1
71,5043,20271,70188,0
71,5429,20271,70188,1
71,5429,20909,50109,0
71,5429,21139,50109,0
71,5031,21162,50109,0
71,5429,21162,50109,0
71,5031,21600,515,0
71,5038,21600,515,0
71,5040,21600,515,0
71,5043,21600,515,0
71,5429,21600,515,0
71,5031,21717,516,0
71,5040,21717,516,0
71,5429,21717,516,0
71,5031,21808,517,0
71,5038,21808,517,0
71,5040,21808,517,0
71,5429,21808,517,0
71,5043,21857,517,0
71,5429,21931,518,0
71,5031,22186,518,0
71,5038,22186,518,0
71,5040,22186,518,0
71,5040,22251,519,0
71,5429,22251,519,0
71,5038,24752,38232,0
71,5038,24794,38233,0
71,5031,25627,52,0
71,5429,25627,52,0
71,5031,25684,52,0
71,5045,25692,52,0
71,5040,29934,30087,0
71,5031,30734,523,0
71,5038,30734,523,0
71,5040,30734,523,0
71,5043,30734,523,0
71,5429,30734,523,0
71,5031,30833,554,0
71,5037,30833,554,0
71,5038,30833,554,0
71,5040,30833,554,0
71,5043,30833,554,0
71,5429,30833,554,0
71,5031,30841,554,0
71,5038,30841,554,0
71,5040,30841,554,0
71,5043,30841,554,0
71,5031,31278,562,0
71,5034,31278,562,0
71,5035,31278,562,0
71,5037,31278,562,0
71,5038,31278,562,0
71,5040,31278,562,0
71,5043,31278,562,0
71,5044,31278,562,0
71,5045,31278,562,0
71,5429,31278,562,0
71,5040,32466,311,0
71,5040,35907,38541,0
71,5429,35972,50152,0
71,5429,35998,50152,0
71,5031,36053,38616,0
71,5038,36053,38616,0
71,5040,36053,38616,0
71,5429,36053,38616,0
71,5031,36079,38616,0
71,5038,36079,38616,0
71,5040,36079,38616,0
71,5429,36079,38616,0
71,5031,36087,38616,0
71,5038,36087,38616,0
71,5040,36087,38616,0
71,5429,36087,38616,0
71,5031,36111,38616,0
71,5038,36111,38616,0
71,5040,36111,38616,0
71,5429,36111,38616,0
71,5031,36277,879,0
71,5040,36277,879,0
71,5429,36277,879,0
71,5031,36285,879,0
71,5040,36285,879,0
71,5429,36285,879,0
71,5031,36327,879,0
71,5040,36327,879,0
71,5429,36327,879,0
71,5031,36335,879,0
71,5040,36335,879,0
71,5429,36335,879,0
71,5031,36483,879,0
71,5040,36483,879,0
71,5429,36483,879,0
71,5031,36491,879,0
71,5040,36491,879,0
71,5429,36491,879,0
71,5031,36533,879,0
71,5040,36533,879,0
71,5429,36533,879,0
71,5040,37713,789,0
71,5040,38273,787,0
71,5031,39180,58002,0
71,5031,39552,67109,0
71,5034,39552,67109,0
71,5035,39552,67109,0
71,5038,39552,67109,0
71,5040,39552,67109,0
71,5043,39552,67109,0
71,5044,39552,67109,0
71,5429,39552,67109,0
71,5031,41822,45048,0
71,5040,41822,45048,0
71,5429,41822,45048,0
71,5031,41871,45048,0
71,5040,41871,45048,0
71,5429,41871,45048,0
71,5031,44388,673,0
71,5038,44388,673,0
71,5040,44388,673,0
71,5429,44388,673,0
71,5031,44396,673,0
71,5038,44396,673,0
71,5040,44396,673,0
71,5429,44396,673,0
71,5031,44404,673,0
71,5038,44404,673,0
71,5040,44404,673,0
71,5429,44404,673,0
71,5031,44420,673,0
71,5038,44420,673,0
71,5040,44420,673,0
71,5429,44420,673,0
71,5031,45021,40483,0
71,5038,45021,40483,0
71,5040,45021,40483,1
71,5429,45021,40483,0
71,5031,48652,30216,0
71,5038,48652,30216,0
71,5040,48652,30216,0
71,5429,48652,30216,0
71,5031,48660,30218,0
71,5040,48660,30218,0
71,5429,48660,30218,0
71,5031,49809,280,0
71,5038,49809,280,0
71,5040,49809,280,0
71,5429,49809,280,0
71,5031,51037,50108,0
71,5031,51045,50108,0
71,5031,51052,50108,0
71,5031,51060,50108,0
71,5031,52118,78915,0
71,5040,52118,78915,0
71,5429,52118,78915,0
71,5031,52126,78915,0
71,5040,52126,78915,0
71,5429,52126,78915,0
71,5031,52878,50108,0
71,5031,52894,50108,0
71,5429,52910,50108,0
71,5031,52928,50108,0
71,5031,53611,566,0
71,5035,53611,566,0
71,5037,53611,566,0
71,5038,53611,566,0
71,5040,53611,566,0
71,5043,53611,566,0
71,5044,53611,566,0
71,5429,53611,566,0
71,5031,53629,565,0
71,5035,53629,565,0
71,5037,53629,565,0
71,5038,53629,565,0
71,5040,53629,565,0
71,5043,53629,565,0
71,5044,53629,565,0
71,5045,53629,565,0
71,5429,53629,565,0
71,5031,56697,30226,0
71,5038,56697,30226,0
71,5040,56697,30226,0
71,5031,56762,30226,0
71,5031,56812,30227,0
71,5040,56812,30227,0
71,5429,56812,30227,0
71,5031,56853,38617,0
71,5040,56853,38617,0
71,5031,56861,38617,0
71,5040,56861,38617,0
71,5035,58107,460,0
71,5044,58107,460,0
71,5429,58107,460,0
71,5429,59014,143,0
71,5429,59030,143,0
71,5031,59337,78915,0
71,5040,59337,78915,0
71,5429,59337,78915,0
71,5040,60236,203,0
71,5040,60251,74,0
71,5040,60277,74,0
71,5031,61069,479,0
71,5040,61069,479,0
71,5429,61192,477,0
71,5031,61598,476,0
71,5040,61598,476,0
71,5429,61598,476,0
71,5429,61606,476,0
71,5031,61614,476,0
71,5040,61614,476,0
71,5429,61614,476,0
71,5031,61671,476,0
71,5040,61671,476,0
71,5429,61671,476,0
71,5429,61713,476,0
71,5429,61887,476,0
71,5031,62281,478,0
71,5038,62281,478,0
71,5040,62281,478,0
71,5429,62281,478,0
71,5429,62299,478,0
71,5031,62307,478,0
71,5038,62307,478,0
71,5040,62307,478,0
71,5429,62307,478,0
71,5031,62315,478,0
71,5038,62315,478,0
71,5040,62315,478,0
71,5429,62315,478,0
71,5040,64683,68405,0
71,5031,64733,68406,0
71,5035,64733,68406,0
71,5038,64733,68406,0
71,5040,64733,68406,0
71,5043,64733,68406,0
71,5429,64733,68406,0
71,5031,64741,68406,0
71,5040,64741,68406,0
71,5043,64741,68406,0
71,5044,64741,68406,0
71,5031,64758,68406,0
71,5037,64758,68406,0
71,5038,64758,68406,0
71,5040,64758,68406,0
71,5045,64758,68406,0
71,5429,64758,68406,0
71,5031,64766,68406,0
71,5429,64766,68406,0
71,5038,64782,68406,0
71,5040,64782,68406,0
71,5043,64782,68406,0
71,5038,64790,68464,0
71,5040,64790,68464,0
71,5040,64808,68464,0
71,5038,64816,68464,0
71,5040,64816,68464,0
71,5040,65474,500,0
71,5040,65482,500,0
71,5043,65573,490,0
71,5429,65573,490,0
71,5038,65581,490,0
71,5043,65581,490,0
71,5038,65631,487,0
71,5429,65698,488,0
71,5429,65771,488,0
71,5031,65789,489,0
71,5038,65789,489,0
71,5040,65789,489,0
