ZL_DIVN_NBR,RDS_SKU_NBR,LOC_NBR,NSL_QTY
71,2286326,5226,1
71,2286326,5225,1
71,2286326,5223,1
71,2286326,5219,1
71,2286326,5213,1
71,2286326,5211,1
71,2286326,5210,1
71,2286326,5206,1
71,2286326,5205,1
71,2286326,5203,1
71,2286326,5198,1
71,2286326,5195,1
71,2286326,5187,1
71,2286326,5137,1
71,2286326,5120,1
71,2286326,5115,1
71,2286326,5074,1
71,2286326,5073,1
71,2286326,5066,1
71,2286326,5051,1
71,2286326,5047,1
71,2286326,5035,1
71,2286383,5031,1
71,2286383,5445,1
71,2286383,5433,1
71,2286383,5431,1
71,2286383,5430,1
71,2286383,5429,1
71,2286383,5422,1
71,2286383,5419,1
71,2286383,5255,1
71,2286383,5242,1
71,2286383,5237,1
71,2286383,5236,1
71,2286383,5235,1
71,2286383,5228,1
71,2286383,5226,1
71,2286383,5225,1
71,2286383,5223,1
71,1974,5445,1
71,1974,5434,1
71,1974,5433,1
71,1974,5430,1
71,1974,5429,1
71,1974,5422,1
71,1974,5419,1
71,1974,5255,1
71,1974,5247,1
71,1974,5236,1
71,1974,5228,1
71,1974,5223,1
71,1974,5219,1
71,1974,5215,1
71,1974,5213,1
71,1974,5211,1
71,1974,5205,1
71,1974,5198,1
71,1974,5191,1
71,1974,5190,1
71,1974,5189,1
71,1974,5136,1
71,1974,5135,1
71,1974,5133,1
71,1974,5115,1
71,1974,5111,1
71,1974,5051,1
71,1974,5047,1
71,1974,5040,1
71,1974,5038,1
71,12849,5229,1
71,12849,5035,1
71,20081,5043,4
71,20081,5445,4
71,20081,5434,4
71,20081,5433,4
71,20081,5431,6
71,20081,5430,4
71,20081,5429,4
71,20081,5422,4
71,20081,5419,4
71,20081,5242,4
71,20081,5237,4
71,20081,5236,4
71,20081,5235,4
71,20081,5228,4
71,20081,5226,4
71,20081,5225,4
71,20081,5223,4
71,20081,5219,4
71,20081,5215,4
71,20081,5213,5
71,20081,5211,4
71,20081,5210,4
71,20081,5206,4
71,20081,5203,4
71,20081,5195,8
71,20081,5194,4
71,20081,5191,4
71,20081,5190,4
71,20081,5189,4
71,20081,5188,4
71,20081,5187,4
71,20081,5137,4
71,20081,5136,4
71,20081,5135,4
71,20081,5133,2
71,20081,5120,4
71,20081,5111,4
71,20081,5074,4
71,20081,5073,4
71,20081,5066,4
71,20081,5051,4
71,20081,5047,4
71,20081,5040,4
71,20081,5038,7
71,20081,5031,4
71,20099,5031,2
71,20099,5445,2
71,20099,5434,2
71,20099,5433,2
71,20099,5431,2
71,20099,5430,2
71,20099,5429,2
71,20099,5422,2
71,20099,5419,2
71,20099,5242,2
71,20099,5237,2
71,20099,5236,2
71,20099,5235,2
71,20099,5228,2
71,20099,5226,2
71,20099,5225,2
71,20099,5223,2
71,20099,5219,2
71,20099,5215,2
71,20099,5213,3
71,20099,5211,2
71,20099,5210,2
71,20099,5206,2
71,20099,5203,2
71,20099,5195,4
71,20099,5194,2
71,20099,5191,2
71,20099,5190,2
71,20099,5189,2
71,20099,5188,2
71,20099,5187,2
71,20099,5137,2
71,20099,5136,2
71,20099,5135,2
71,20099,5133,2
71,20099,5120,2
71,20099,5111,2
71,20099,5074,2
71,20099,5073,2
71,20099,5066,2
71,20099,5051,2
71,20099,5047,3
71,20099,5043,2
71,20099,5040,2
71,20099,5038,4
71,20107,5043,1
71,20107,5445,1
